Record,Location,Title,Job Type,Sex,Classification,Supervisor,Last Eval,Q1 Number,Q2,Q3,Q4,Q5,Q7,Q8,Supervisor,Q2 Number,Q3 Number,Q4 Number,Q5 Number,Q7 Number,Q8 Number
10002154,New Hampshire,Team Lead,Full-Time,Male,Client/Support,Yes,Satisfactory,4,No,disagree,Disagree,Disagree,Strongly Disagree,,Y,0,-1,-1,-1,-2,
10002155,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Disagree,Agree,,Disagree,N,1,-1,-1,1,,-1
10002156,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,agree,Strongly Disagree,Agree,,Disagree,N,1,1,-2,1,,-1
10002157,Texas,Team Lead,Full-Time,Female,Client/Support,Yes,Poor,3,No,agree,Disagree,Disagree,Strongly Disagree,,Y,0,1,-1,-1,-2,
10002158,Florida,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Disagree,N,1,-2,-1,-1,,-1
10002159,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10002160,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Agree,Strongly Disagree,,Strongly Agree,N,1,2,1,-2,,2
10002161,Texas,Director,Full-Time,Male,Admin,Yes,Satisfactory,4,Yes,strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Y,1,2,2,-2,-2,
10002162,Florida,Director,Full-Time,Male,Admin,Yes,Satisfactory,3,Yes,disagree,Strongly Agree,Disagree,Strongly Agree,,Y,1,-1,2,-1,2,
10002163,Texas,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,strongly agree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,2,2,-2,,-2
10002164,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Disagree,,Disagree,N,1,1,2,-2,,-1
10002165,Texas,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Disagree,Disagree,,Strongly Disagree,N,1,-1,-1,-1,,-2
10002166,California,Technician - Production,Full-Time,Female,Production,No,Poor,1,No,disagree,Disagree,Agree,,Disagree,N,0,-1,-1,1,,-1
10002167,California,Sales - After Market,Full-Time,Female,Client/Support,No,Outstanding,2,No,disagree,Strongly Disagree,Agree,,Disagree,N,0,-1,-2,1,,-1
10002168,New Hampshire,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,3,Yes,disagree,Disagree,Strongly Disagree,,Agree,N,1,-1,-1,-2,,1
10002169,Texas,Technician - Production,Part-Time,Male,Production,No,Outstanding,4,Yes,disagree,Agree,Disagree,,Agree,N,1,-1,1,-1,,1
10002170,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10002171,Illinois,Project Manager,Full-Time,Male,Admin,No,Outstanding,4,Yes,agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,1,2,-1,,-2
10002172,California,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,No,strongly disagree,Disagree,Disagree,,Strongly Disagree,N,0,-2,-1,-1,,-2
10002173,Florida,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Disagree,Disagree,,Strongly Disagree,N,1,1,-1,-1,,-2
10002174,Florida,Sales - Client Support,Full-Time,Male,Client/Support,No,Outstanding,4,Yes,disagree,Agree,Agree,,Disagree,N,1,-1,1,1,,-1
10002175,Virginia,Technician - Production,Full-Time,Male,Production,No,Outstanding,3,Yes,agree,Agree,Agree,,Strongly Disagree,N,1,1,1,1,,-2
10002176,New Hampshire,Technician - Production,Part-Time,Female,Production,No,Poor,1,Yes,strongly disagree,Strongly Disagree,Disagree,,Strongly Agree,N,1,-2,-2,-1,,2
10002177,New Hampshire,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Agree,Disagree,,Agree,N,1,1,2,-1,,1
10002178,California,Technician - Aftermarket,Full-Time,Female,Production,No,Poor,1,Yes,disagree,Agree,Disagree,,Strongly Agree,N,1,-1,1,-1,,2
10002179,California,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,1,2,-1,,-2
10002180,Florida,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10002181,Virginia,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,2,Yes,agree,Strongly Agree,Strongly Disagree,,Disagree,N,1,1,2,-2,,-1
10002182,Virginia,Director,Full-Time,Male,Admin,Yes,Satisfactory,4,Yes,strongly disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,Y,1,-2,-2,2,2,
10002183,Virginia,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Strongly Agree,,Strongly Disagree,N,1,1,-1,2,,-2
10002184,Illinois,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Disagree,Agree,,Strongly Agree,N,1,2,-1,1,,2
10002185,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Agree,,Strongly Disagree,N,1,-1,-1,2,,-2
10002186,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Agree,,Agree,N,1,-2,-1,1,,1
10002187,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Outstanding,2,Yes,strongly disagree,Agree,Disagree,,Strongly Disagree,N,1,-2,1,-1,,-2
10002188,Texas,Technician - Aftermarket,Full-Time,Female,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,-1,-1,-2,,-2
10002189,California,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,3,Yes,strongly agree,Strongly Disagree,Disagree,Strongly Disagree,,Y,1,2,-2,-1,-2,
10002190,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,No,agree,Disagree,Disagree,,Disagree,N,0,1,-1,-1,,-1
10002191,New Hampshire,Project Manager,Full-Time,Male,Admin,No,Satisfactory,4,Yes,strongly agree,Strongly Agree,Strongly Agree,,Strongly Disagree,N,1,2,2,2,,-2
10002192,California,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,4,No,strongly disagree,Agree,Agree,Strongly Disagree,,Y,0,-2,1,1,-2,
10002193,Florida,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Disagree,Disagree,,Strongly Disagree,N,1,-1,-1,-1,,-2
10002194,Texas,Engineering - Production,Full-Time,Male,Production,No,Outstanding,2,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,2,-2,,-2
10002195,Texas,Technician - Production,Part-Time,Male,Production,No,Satisfactory,4,No,disagree,Disagree,Strongly Agree,,Disagree,N,0,-1,-1,2,,-1
10002196,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Agree,Strongly Agree,,Disagree,N,1,1,1,2,,-1
10002197,Florida,Team Lead,Full-Time,Female,Client/Support,Yes,Outstanding,3,Yes,disagree,Agree,Disagree,Disagree,,Y,1,-1,1,-1,-1,
10002198,Florida,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,strongly disagree,Disagree,Agree,,Strongly Disagree,N,1,-2,-1,1,,-2
10002199,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,3,Yes,strongly agree,Agree,Disagree,,Strongly Agree,N,1,2,1,-1,,2
10002200,New Hampshire,Director,Full-Time,Male,Admin,Yes,Satisfactory,2,Yes,disagree,Disagree,Disagree,Strongly Disagree,,Y,1,-1,-1,-1,-2,
10002201,Virginia,Technician - Production,Full-Time,Female,Production,No,Poor,1,Yes,strongly disagree,Disagree,Strongly Disagree,,Disagree,N,1,-2,-1,-2,,-1
10002202,Illinois,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly agree,Agree,Strongly Disagree,,Disagree,N,1,2,1,-2,,-1
10002203,Florida,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,No,strongly disagree,Agree,Disagree,,Strongly Disagree,N,0,-2,1,-1,,-2
10002204,New Hampshire,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Disagree,Agree,,Disagree,N,1,1,-2,1,,-1
10002205,Illinois,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,strongly agree,Strongly Disagree,Disagree,,Strongly Agree,N,1,2,-2,-1,,2
10002206,California,Team Lead,Full-Time,Female,Client/Support,Yes,Poor,4,Yes,agree,Agree,Disagree,Disagree,,Y,1,1,1,-1,-1,
10002207,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Outstanding,3,Yes,agree,Strongly Agree,Disagree,,Disagree,N,1,1,2,-1,,-1
10002208,Illinois,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Strongly Agree,N,1,-1,-1,-2,,2
10002209,New Hampshire,IT/Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Agree,Disagree,,Strongly Agree,N,1,1,2,-1,,2
10002210,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10002211,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Outstanding,2,Yes,disagree,Agree,Agree,,Disagree,N,1,-1,1,1,,-1
10002212,New Hampshire,Sales - Client Support,Full-Time,Female,Client/Support,No,Outstanding,3,Yes,strongly disagree,Strongly Agree,Strongly Disagree,,Strongly Disagree,N,1,-2,2,-2,,-2
10002213,Illinois,Technician - Maintenance,Full-Time,Male,Production,Yes,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,Disagree,,Y,1,1,-2,-1,-1,
10002214,New Hampshire,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,No,agree,Agree,Strongly Disagree,,Strongly Disagree,N,0,1,1,-2,,-2
10002215,Florida,Technician - Aftermarket,Full-Time,Female,Production,No,Outstanding,3,No,strongly disagree,Disagree,Disagree,,Agree,N,0,-2,-1,-1,,1
10002216,New Hampshire,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,disagree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,-1,-1,-2,,-2
10002217,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Disagree,Strongly Agree,,Disagree,N,0,-1,-1,2,,-1
10002218,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10002219,Illinois,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Agree,Strongly Disagree,,Strongly Agree,N,0,-1,1,-2,,2
10002220,Florida,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Agree,,Strongly Agree,N,1,-1,1,1,,2
10002221,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Agree,Agree,,Strongly Disagree,N,1,1,1,1,,-2
10002222,Texas,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Disagree,Disagree,,Strongly Disagree,N,1,-1,-1,-1,,-2
10002223,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10002224,New Hampshire,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10002225,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,No,disagree,Agree,Agree,,Agree,N,0,-1,1,1,,1
10002226,Texas,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,disagree,Disagree,Strongly Agree,,Strongly Disagree,N,1,-1,-1,2,,-2
10002227,Florida,Technician - Production,Full-Time,Male,Production,Yes,Outstanding,4,Yes,disagree,Disagree,Strongly Disagree,Agree,,Y,1,-1,-1,-2,1,
10002228,New Hampshire,Project Manager,Full-Time,Female,Admin,No,Satisfactory,3,Yes,agree,Strongly Disagree,Agree,,Disagree,N,1,1,-2,1,,-1
10002229,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,strongly disagree,Disagree,Agree,,Strongly Disagree,N,0,-2,-1,1,,-2
10002230,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Strongly Disagree,Disagree,,Strongly Disagree,N,0,1,-2,-1,,-2
10002231,New Hampshire,Sales - Client Support,Full-Time,Female,Client/Support,No,Satisfactory,3,No,agree,Agree,Agree,,Disagree,N,0,1,1,1,,-1
10002232,California,IT/Support,Full-Time,Female,Client/Support,No,Poor,2,Yes,strongly agree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,2,-1,-2,,-2
10002233,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,1,2,-1,,-2
10002234,Texas,Technician - Maintenance,Part-Time,Male,Production,No,Outstanding,3,Yes,disagree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,-1,-1,-2,,-2
10002235,Florida,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Agree,,Strongly Disagree,N,1,1,2,1,,-2
10002236,Illinois,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,-1,-1,-2,,-2
10002237,Illinois,Technician - Production,Part-Time,Male,Production,Yes,Satisfactory,4,Yes,strongly agree,Agree,Agree,Strongly Disagree,,Y,1,2,1,1,-2,
10002238,New Hampshire,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10002239,New Hampshire,IT/Support,Full-Time,Male,Client/Support,No,Outstanding,4,No,strongly agree,Agree,Disagree,,Strongly Disagree,N,0,2,1,-1,,-2
10002240,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,2,Yes,agree,Agree,Disagree,,Disagree,N,1,1,1,-1,,-1
10002241,New Hampshire,Director,Full-Time,Male,Admin,Yes,Satisfactory,4,No,disagree,Disagree,Strongly Disagree,Agree,,Y,0,-1,-1,-2,1,
10002242,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Disagree,,Strongly Disagree,N,1,-1,1,-1,,-2
10002243,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,strongly disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-2,2,-1,,-2
10002244,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Agree,Agree,,Strongly Disagree,N,1,-2,1,1,,-2
10002245,New Hampshire,Sales - After Market,Full-Time,Male,Client/Support,No,Outstanding,3,No,agree,Strongly Agree,Disagree,,Strongly Disagree,N,0,1,2,-1,,-2
10002246,California,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,strongly agree,Agree,Strongly Disagree,,Disagree,N,1,2,1,-2,,-1
10002247,Illinois,IT/Support,Full-Time,Male,Client/Support,Yes,Outstanding,3,No,agree,Agree,Strongly Disagree,Strongly Disagree,,Y,0,1,1,-2,-2,
10002248,Illinois,Team Lead,Full-Time,Female,Client/Support,Yes,Poor,4,Yes,strongly disagree,Disagree,Disagree,Disagree,,Y,1,-2,-1,-1,-1,
10002249,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Disagree,Disagree,,Agree,N,1,-1,-1,-1,,1
10002250,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,0,-1,-2,-1,,-2
10002251,Florida,Project Manager,Full-Time,Female,Admin,No,Satisfactory,3,Yes,strongly disagree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,-2,-1,-2,,-2
10002252,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Strongly Disagree,Disagree,,Disagree,N,0,1,-2,-1,,-1
10002253,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Agree,Strongly Disagree,,Disagree,N,1,1,1,-2,,-1
10002254,Florida,Sales - After Market,Full-Time,Female,Client/Support,No,Outstanding,2,No,agree,Disagree,Disagree,,Strongly Agree,N,0,1,-1,-1,,2
10002255,Virginia,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,strongly disagree,Strongly Agree,Disagree,,Disagree,N,0,-2,2,-1,,-1
10002256,New Hampshire,Technician - Production,Part-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Agree,,Strongly Agree,N,1,-1,-1,1,,2
10002257,Illinois,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,,Disagree,N,1,1,-2,-1,,-1
10002258,Florida,Team Lead,Full-Time,Female,Client/Support,Yes,Outstanding,2,Yes,agree,Agree,Disagree,Strongly Disagree,,Y,1,1,1,-1,-2,
10002259,New Hampshire,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Disagree,Strongly Disagree,,Disagree,N,1,-1,-1,-2,,-1
10002260,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Agree,,Disagree,N,0,1,-1,1,,-1
10002261,New Hampshire,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,disagree,Agree,Strongly Agree,,Disagree,N,1,-1,1,2,,-1
10002262,Florida,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,4,No,disagree,Agree,Strongly Agree,,Strongly Agree,N,0,-1,1,2,,2
10002263,New Hampshire,Technician - Aftermarket,Part-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Strongly Agree,Disagree,,Disagree,N,1,-1,2,-1,,-1
10002264,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Strongly Disagree,Strongly Agree,,Strongly Disagree,N,0,1,-2,2,,-2
10002265,New Hampshire,Technician - Aftermarket,Full-Time,Female,Production,No,Satisfactory,4,Yes,agree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,1,-2,-1,,-2
10002266,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,strongly disagree,Disagree,Strongly Agree,,Strongly Disagree,N,1,-2,-1,2,,-2
10002267,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Strongly Disagree,Agree,,Strongly Disagree,N,1,2,-2,1,,-2
10002268,Texas,Technician - Production,Full-Time,Female,Production,Yes,Poor,4,No,strongly disagree,Strongly Disagree,Disagree,Disagree,,Y,0,-2,-2,-1,-1,
10002269,California,Sales - Client Support,Full-Time,Female,Client/Support,No,Outstanding,2,Yes,agree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,1,-1,-2,,-2
10002270,Texas,Team Lead,Full-Time,Female,Client/Support,Yes,Satisfactory,3,Yes,agree,Disagree,Agree,Agree,,Y,1,1,-1,1,1,
10002271,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Strongly Agree,Strongly Disagree,,Disagree,N,1,-2,2,-2,,-1
10002272,Florida,Technician - Aftermarket,Full-Time,Female,Production,No,Outstanding,2,Yes,disagree,Agree,Agree,,Strongly Disagree,N,1,-1,1,1,,-2
10002273,California,Sales - After Market,Full-Time,Male,Client/Support,Yes,Satisfactory,4,Yes,disagree,Strongly Disagree,Strongly Disagree,Disagree,,Y,1,-1,-2,-2,-1,
10002274,California,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10002275,Florida,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,3,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10002276,California,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,Yes,agree,Agree,Disagree,,Strongly Disagree,N,1,1,1,-1,,-2
10002277,Texas,IT/Support,Full-Time,Female,Client/Support,No,Outstanding,2,Yes,disagree,Strongly Agree,Disagree,,Disagree,N,1,-1,2,-1,,-1
10002278,California,Technician - Production,Part-Time,Male,Production,No,Satisfactory,3,Yes,agree,Agree,Agree,,Disagree,N,1,1,1,1,,-1
10002279,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Outstanding,4,Yes,strongly disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-2,2,-1,,-2
10002280,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,No,agree,Disagree,Agree,,Strongly Disagree,N,0,1,-1,1,,-2
10002281,New Hampshire,Technician - Aftermarket,Full-Time,Male,Production,Yes,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,Strongly Disagree,,Y,1,1,-2,-1,-2,
10002282,Florida,Technician - Building Services,Full-Time,Male,Production,No,Satisfactory,2,No,agree,Disagree,Disagree,,Disagree,N,0,1,-1,-1,,-1
10002283,Florida,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,No,strongly agree,Strongly Disagree,Agree,,Disagree,N,0,2,-2,1,,-1
10002284,California,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,1,2,-1,,-2
10002285,Texas,Technician - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,strongly agree,Agree,Agree,,Strongly Disagree,N,1,2,1,1,,-2
10002286,Texas,Technician - Production,Full-Time,Female,Production,No,Poor,1,Yes,disagree,Agree,Disagree,,Disagree,N,1,-1,1,-1,,-1
10002287,Texas,Project Manager,Full-Time,Female,Admin,No,Satisfactory,4,Yes,agree,Agree,Disagree,,Strongly Disagree,N,1,1,1,-1,,-2
10002288,Florida,Technician - Production,Full-Time,Female,Production,No,Poor,1,No,disagree,Strongly Disagree,Disagree,,Strongly Agree,N,0,-1,-2,-1,,2
10002289,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Strongly Disagree,,Strongly Disagree,N,1,-1,1,-2,,-2
10002290,New Hampshire,Director,Full-Time,Male,Admin,Yes,Outstanding,4,No,agree,Disagree,Strongly Disagree,Strongly Disagree,,Y,0,1,-1,-2,-2,
10002291,California,Technician - Aftermarket,Full-Time,Female,Production,No,Poor,1,Yes,strongly agree,Disagree,Disagree,,Disagree,N,1,2,-1,-1,,-1
10002292,Texas,IT/Support,Full-Time,Male,Client/Support,Yes,Satisfactory,4,Yes,disagree,Disagree,Disagree,Strongly Disagree,,Y,1,-1,-1,-1,-2,
10002293,Texas,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Disagree,,Strongly Disagree,N,1,-1,2,-1,,-2
10002294,California,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,2,Yes,strongly agree,Strongly Agree,Disagree,,Disagree,N,1,2,2,-1,,-1
10002295,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Agree,N,1,1,-1,-1,,1
10002296,Virginia,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly agree,Disagree,Strongly Disagree,,Strongly Disagree,N,1,2,-1,-2,,-2
10002297,New Hampshire,IT/Support,Full-Time,Female,Client/Support,No,Satisfactory,4,No,agree,Disagree,Strongly Disagree,,Strongly Disagree,N,0,1,-1,-2,,-2
10002298,Florida,Technician - Production,Part-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Strongly Disagree,,Strongly Agree,N,1,-1,2,-2,,2
10002299,Illinois,Director,Full-Time,Female,Admin,Yes,Poor,3,Yes,agree,Disagree,Agree,Strongly Agree,,Y,1,1,-1,1,2,
10002300,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,agree,Disagree,Strongly Agree,,Strongly Disagree,N,1,1,-1,2,,-2
10002301,Florida,Sales - Client Support,Full-Time,Male,Client/Support,No,Satisfactory,4,No,strongly disagree,Strongly Disagree,Agree,,Disagree,N,0,-2,-2,1,,-1
10002302,Florida,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Strongly Agree,,Strongly Agree,N,1,-1,1,2,,2
10002303,Florida,Project Manager,Full-Time,Female,Admin,No,Satisfactory,3,Yes,agree,Strongly Agree,Strongly Disagree,,Disagree,N,1,1,2,-2,,-1
10002304,New Hampshire,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Disagree,Disagree,,Disagree,N,1,1,-1,-1,,-1
10002305,Virginia,Technician - Production,Full-Time,Male,Production,No,Outstanding,4,Yes,agree,Agree,Strongly Agree,,Disagree,N,1,1,1,2,,-1
10002306,Florida,Technician - Aftermarket,Full-Time,Male,Production,No,Satisfactory,4,Yes,strongly disagree,Disagree,Disagree,,Strongly Agree,N,1,-2,-1,-1,,2
10002307,New Hampshire,Engineering - Production,Full-Time,Male,Production,No,Satisfactory,3,Yes,disagree,Strongly Disagree,Disagree,,Strongly Disagree,N,1,-1,-2,-1,,-2
10002308,Texas,Sales - After Market,Full-Time,Female,Client/Support,No,Satisfactory,4,Yes,strongly agree,Strongly Agree,Disagree,,Strongly Disagree,N,1,2,2,-1,,-2
10002309,California,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,3,Yes,agree,Strongly Disagree,Disagree,Disagree,,Y,1,1,-2,-1,-1,
10002310,Florida,Technician - Maintenance,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Disagree,Disagree,,Disagree,N,1,-1,-2,-1,,-1
10002311,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,2,Yes,disagree,Disagree,Disagree,,Disagree,N,1,-1,-1,-1,,-1
10002312,New Hampshire,Director,Full-Time,Male,Admin,Yes,Satisfactory,3,Yes,disagree,Strongly Disagree,Strongly Disagree,Agree,,Y,1,-1,-2,-2,1,
10002313,Illinois,Technician - Maintenance,Full-Time,Female,Production,Yes,Poor,3,Yes,disagree,Agree,Disagree,Strongly Disagree,,Y,1,-1,1,-1,-2,
10002314,California,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Agree,,Strongly Disagree,N,1,1,2,2,,-2
10002315,New Hampshire,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Strongly Agree,Agree,,Disagree,N,1,-1,2,1,,-1
10002316,New Hampshire,Technician - Production,Full-Time,Male,Production,Yes,Satisfactory,4,Yes,strongly agree,Agree,Strongly Agree,Disagree,,Y,1,2,1,2,-1,
10002317,California,Engineering - Production,Full-Time,Male,Admin,No,Outstanding,4,Yes,agree,Disagree,Disagree,,Strongly Disagree,N,1,1,-1,-1,,-2
10002318,Texas,Sales - After Market,Full-Time,Male,Client/Support,No,Satisfactory,4,Yes,agree,Strongly Agree,Strongly Agree,,Strongly Disagree,N,1,1,2,2,,-2
10002319,Florida,Technician - Production,Full-Time,Male,Production,No,Satisfactory,4,Yes,disagree,Agree,Agree,,Strongly Disagree,N,1,-1,1,1,,-2
